# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,64,4096,2048,32,1,0,0,2.226,2.237,FAIL,553.421875,0,f1792b02b4a48764
case01,64,2048,4096,64,2,0,0,2.226,2.229,FAIL,394.355469,0,dd894439bc6fa44c
case02,16,8192,4096,32,1,0,0,2.574,2.575,FAIL,952.671875,0,de269cc911a17f69
case03,32,4096,4096,32,1,0,1,2.278,2.281,FAIL,535.025391,0,e20aedc4044d4683
case04,32,4096,2048,32,1,0,0,1.395,1.396,PASS,0.019531,1,5bad8645e943ba32
case05,16,8192,2048,32,1,0,0,1.694,1.709,PASS,0.027344,1,348c91712422065b
case06,64,2048,2048,32,2,0,0,1.249,1.254,PASS,0.004883,1,90f44a011e333ded
