# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,64,4096,2048,32,1,0,0,2.519,2.524,FAIL,535.814453,0,2dc395ead93a5194
case01,64,2048,4096,64,2,0,0,2.532,2.534,FAIL,383.480469,0,70f721c254aa8e85
case02,16,8192,4096,32,1,0,0,2.714,2.721,FAIL,960.500000,0,ba5fde51153a561f
case03,32,4096,4096,32,1,0,1,2.478,2.493,FAIL,535.353516,0,032c2ff05e42327c
case04,32,4096,2048,32,1,0,0,1.634,1.637,PASS,0.019531,1,5bad8645e943ba32
case05,16,8192,2048,32,1,0,0,1.864,1.905,PASS,0.027344,1,348c91712422065b
case06,64,2048,2048,32,2,0,0,1.483,1.485,PASS,0.004883,1,90f44a011e333ded
