# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,64,4096,2048,32,1,0,0,2.253,2.265,FAIL,554.251953,0,a58b1c4e2bb05ec4
case01,64,2048,4096,64,2,0,0,2.225,2.239,FAIL,395.308594,0,0965b1a7126c6920
case02,16,8192,4096,32,1,0,0,2.614,2.621,FAIL,961.882812,0,cccae39f8e6649fb
case03,32,4096,4096,32,1,0,1,2.285,2.287,FAIL,537.572266,0,12973fd0691f19e8
case04,32,4096,2048,32,1,0,0,1.475,1.482,PASS,0.019531,1,5bad8645e943ba32
case05,16,8192,2048,32,1,0,0,1.734,1.776,PASS,0.027344,1,348c91712422065b
case06,64,2048,2048,32,2,0,0,1.347,1.354,PASS,0.004883,1,90f44a011e333ded
