# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,64,4096,2048,32,1,0,0,2.708,2.711,FAIL,351.560547,0,e177c4be6c9f7a6d
case01,64,2048,4096,64,2,0,0,2.684,2.692,FAIL,260.023438,0,46b3f3e9a95d0201
case02,16,8192,4096,32,1,0,0,2.833,2.902,FAIL,627.394531,0,2d98bedb7b8767a2
case03,32,4096,4096,32,1,0,1,2.765,2.769,FAIL,326.357422,0,33f763f5f5bc2a5a
case04,32,4096,2048,32,1,0,0,1.676,1.678,PASS,0.019531,1,5bad8645e943ba32
case05,16,8192,2048,32,1,0,0,1.962,1.968,PASS,0.027344,1,348c91712422065b
case06,64,2048,2048,32,2,0,0,1.523,1.534,PASS,0.004883,1,90f44a011e333ded
